test_code,sex,model,log_lambda_,log_transformed,min_mu,max_mu,min_sigma,max_sigma
A1C,ALL,bayesian,0.9949552207362616,False,1.6000000000000005,7.999999999999999,0.001,0.40816326530612235
A1C,F,bayesian,1.0734529368114063,False,1.6000000000000005,7.999999999999999,0.001,0.40816326530612235
A1C,M,bayesian,0.9689812952468505,False,1.6000000000000005,7.999999999999999,0.001,0.40816326530612235
ALB,ALL,bayesian,1.1344544015934397,False,0.9499999999999993,7.75,0.001,0.43367346938775514
ALB,F,bayesian,0.2818997323616139,False,0.9499999999999993,7.75,0.001,0.43367346938775514
ALB,M,bayesian,1.1662663620296563,False,0.9499999999999993,7.75,0.001,0.43367346938775514
ALK,F,bayesian,0.43629102480084503,False,0.001,460.0,0.001,44.38775510204082
ALK,M,bayesian,1.132489673252288,False,0.001,515.0,0.001,48.97959183673469
ALT,ALL,bayesian,1.380684186883441,False,0.001,149.5,0.001,14.540816326530612
ALT,F,bayesian,1.1063009492102551,False,0.001,72.0,0.001,6.63265306122449
ALT,M,bayesian,1.3461398172739707,False,0.001,145.0,0.001,13.775510204081632
AST,ALL,bayesian,0.8590917330600827,False,0.001,69.0,0.001,6.122448979591836
AST,F,bayesian,1.1297720820560657,False,0.001,69.0,0.001,6.122448979591836
AST,M,bayesian,0.8801773237818385,False,0.001,69.0,0.001,6.122448979591836
BIL,ALL,bayesian,0.9096507655695731,False,0.001,2.95,0.001,0.2806122448979592
BIL,F,bayesian,0.6554383067645809,False,0.001,2.95,0.001,0.2806122448979592
BIL,M,bayesian,0.8911397694495503,False,0.001,2.95,0.001,0.2806122448979592
BILD,ALL,bayesian,0.2043396722703586,False,0.001,0.75,0.001,0.07653061224489796
BILD,F,bayesian,1.3971575143393384,False,0.001,0.75,0.001,0.07653061224489796
BILD,M,bayesian,-3.0,False,0.001,0.75,0.001,0.07653061224489796
BUN,ALL,bayesian,1.4733546999642486,False,0.001,40.5,0.001,3.316326530612245
BUN,F,bayesian,1.2622213391920516,False,0.001,40.5,0.001,3.316326530612245
BUN,M,bayesian,1.4475989465250605,False,0.001,40.5,0.001,3.316326530612245
CA,ALL,bayesian,-2.621231238708814,False,6.950000000000003,12.149999999999999,0.001,0.33163265306122425
CA,F,bayesian,-0.2887423759468192,False,6.950000000000003,12.149999999999999,0.001,0.33163265306122425
CA,M,bayesian,-3.0,False,6.950000000000003,12.149999999999999,0.001,0.33163265306122425
CHOL,ALL,bayesian,1.442646442310453,False,0.001,525.0,0.001,53.57142857142857
CHOL,F,bayesian,1.2556947028954673,False,0.001,525.0,0.001,53.57142857142857
CHOL,M,bayesian,1.4052287833282153,False,0.001,525.0,0.001,53.57142857142857
CL,ALL,bayesian,-3.0,False,83.0,123.0,0.001,2.5510204081632653
